"year","length","tot_val"
2006,19,23.363464
2006,18,22.706156
2006,17,10.363355
2006,16,11.898642
2006,15,15.166875
2006,14,1.386613
2006,13,0.924409
2006,12,0
2006,11,0
2006,10,0
2006,9,0
2006,8,0
2006,7,0
2006,6,0
2006,5,0
2006,4,0
2006,3,0
2006,2,0
2006,1,0
2006,0,0
2005,100,0
2005,99,0
2005,98,0
2005,97,0
2005,96,0
2005,95,0
2005,94,0
2005,93,0
2005,92,0
2005,91,0
2005,90,0
2005,89,0
2005,88,0
2005,87,0
2005,86,0
2005,85,0
2005,84,0
2005,83,0
2005,82,0
2005,81,0
2005,80,0
2005,79,0
2005,78,0
2005,77,0
2005,76,0
2005,75,0
2005,74,0
2005,73,0
2005,72,0
2005,71,0
2005,70,0
2005,69,0
2005,68,0
2005,67,0
2005,66,0
2005,65,0
2005,64,0
2005,63,0
2005,62,0
2005,61,0
2005,60,0
2005,59,0
2005,58,0
2005,57,0
2005,56,0
2005,55,0
2005,54,0
2005,53,0
2005,52,0
2005,51,0
2005,50,0
2005,49,0
2005,48,0
2005,47,0
2005,46,0
2005,45,0
2005,44,0
2005,43,0
2005,42,0
2005,41,1.446308
2005,40,0.39833
2005,39,3.290945
2005,38,14.695512
2005,37,24.61106
2005,36,59.04528
2005,35,150.784444
2005,34,158.831523
2005,33,1113.165491
2005,32,1046.257907
2005,31,1049.261789
2005,30,1557.279027
2005,29,793.439328
2005,28,1788.625527
2005,27,1043.874889
2005,26,780.759299
2005,25,1259.606034
2005,24,2293.787755
2005,23,3251.683887
2005,22,3590.943813
2005,21,2522.482318
2005,20,1115.053369
2005,19,1182.891221
2005,18,891.82046
2005,17,895.652666
2005,16,563.994436
2005,15,420.356275
2005,14,409.832771
2005,13,37.746926
2005,12,25.056002
2005,11,1.446308
2005,10,0
2005,9,0
2005,8,0
2005,7,0
2005,6,0
2005,5,0
2005,4,0
2005,3,0
2005,2,0
2005,1,0
2005,0,0
2004,100,0
2004,99,0
2004,98,0
2004,97,0
2004,96,0
2004,95,0
2004,94,0
2004,93,0
2004,92,0
2004,91,0
2004,90,0
2004,89,0
2004,88,0
2004,87,0
2004,86,0
2004,85,0
2004,84,0
2004,83,0
2004,82,0
2004,81,0
2004,80,0
2004,79,0
2004,78,0
2004,77,0
2004,76,0
2004,75,0
2004,74,0
2004,73,0
2004,72,0
2004,71,0
2004,70,0
2004,69,0
2004,68,0
2004,67,0
2004,66,0
2004,65,0
2004,64,0
2004,63,0
2004,62,0
2004,61,0
2004,60,0
2004,59,0
2004,58,0
2004,57,0
2004,56,0
2004,55,0
2004,54,0
2004,53,0
2004,52,0
2004,51,0
2004,50,0
2004,49,0
2004,48,0
2004,47,0
2004,46,0
2004,45,0
2004,44,0
2004,43,0
2004,42,0
2004,41,0
2004,40,317.966171
2004,39,635.932342
2004,38,953.898514
2004,37,317.966171
2004,36,1271.864685
2004,35,1589.830856
2004,34,953.898514
2004,33,1907.797027
2004,32,1271.864685
2004,31,1589.830856
2004,30,2543.72937
2004,29,1907.797027
2004,28,1907.797027
2004,27,953.898514
2004,26,953.898514
2004,25,1589.830856
2004,24,953.898514
2004,23,317.966171
2004,22,317.966171
2004,21,0
2004,20,0
2004,19,0
2004,18,0
2004,17,0
2004,16,0
2004,15,0
2004,14,0
2004,13,0
2004,12,0
2004,11,0
2004,10,0
2004,9,0
2004,8,0
2004,7,0
2004,6,0
2004,5,0
2004,4,0
2004,3,0
2004,2,0
2004,1,0
2004,0,0
2003,100,0
2003,99,0
2003,98,0
2003,97,0
2003,96,0
2003,95,0
2003,94,0
2003,93,0
2003,92,0
2003,91,0
2003,90,0
2003,89,0
2003,88,0
2003,87,0
2003,86,0
2003,85,0
2003,84,0
2003,83,0
2003,82,0
2003,81,0
2003,80,0
2003,79,0
2003,78,0
2003,77,0
2003,76,0
2003,75,0
2003,74,0
2003,73,0
2003,72,0
2003,71,0
2003,70,0
2003,69,0
2003,68,0
2003,67,0
2003,66,0
2003,65,0
2003,64,0
2003,63,0
2003,62,0
2003,61,0
2003,60,0
2003,59,0
2003,58,0
2003,57,0
2003,56,0
2003,55,0
2003,54,0
2003,53,0
2003,52,0
2003,51,0
2003,50,0
2003,49,0
2003,48,0
2003,47,0
2003,46,0
2003,45,0
2003,44,0
2003,43,0
2003,42,0
2003,41,740.656752
2003,40,740.656752
2003,39,0
2003,38,1110.985128
2003,37,740.656752
2003,36,1110.985128
2003,35,1481.313504
2003,34,740.656752
2003,33,1110.985128
2003,32,370.328376
2003,31,1110.985128
2003,30,1110.985128
2003,29,1481.313504
2003,28,1110.985128
2003,27,1110.985128
2003,26,740.656752
2003,25,1110.985128
2003,24,740.656752
2003,23,740.656752
2003,22,740.656752
2003,21,370.328376
2003,20,0
2003,19,0
2003,18,0
2003,17,0
2003,16,0
2003,15,0
2003,14,0
2003,13,0
2003,12,0
2003,11,0
2003,10,0
2003,9,0
2003,8,0
2003,7,0
2003,6,0
2003,5,0
2003,4,0
2003,3,0
2003,2,0
2003,1,0
2003,0,0
